,Month,CRSArrTime,Distance,Diverted,ArrDelay,Expected time,is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday,arrival hour
1261117,3,-2.9275255482346227,0.334622166720541,0,2.297904342692491,-1.488012495475755,0,0,0,1,0,0,0,0
1664608,3,-2.9275255482346227,0.334622166720541,0,0.200973331470798,0.04559255920228885,0,0,0,1,0,0,0,0
1411862,3,-2.988637125496692,1.9421215184210663,0,-0.5829261119765641,1.459176348731616,0,0,0,0,1,0,0,0
1146850,3,-2.9275255482346227,0.334622166720541,0,-0.40654873720090756,0.27229939337208664,0,0,0,0,1,0,0,0
993416,2,-2.895172360272351,1.3700243162405992,0,-0.56332862589038,1.0724411610301965,0,0,0,1,0,0,0,0
400895,1,-2.988637125496692,1.9421215184210663,0,-0.19097639025288302,1.525854829369792,0,0,0,0,0,0,1,0
1066001,2,-2.988637125496692,1.9421215184210663,0,-0.30856130676998733,1.4991834371145216,1,0,0,0,0,0,0,0
1431638,3,-2.895172360272351,1.3700243162405992,0,-0.4849386815456438,0.9524198958814799,0,0,0,0,0,1,0,0
3206904,6,-2.9131463535847244,0.334622166720541,0,0.4557406505911907,-0.20778566722277925,0,0,0,0,0,0,1,0
2456620,5,-2.895172360272351,0.334622166720541,0,-0.15178141808051493,0.2056209127339108,0,0,1,0,0,0,0,0
4188588,8,-2.9311203468970977,2.131570100126729,0,-0.5045361676318278,1.7125545751566844,1,0,0,0,0,0,0,0
5667549,10,-2.934715145559572,0.334622166720541,0,-0.30856130676998733,0.2456280011168163,0,0,0,0,0,0,1,0
896213,2,-2.988637125496692,1.9421215184210663,0,-0.40654873720090756,1.0457697687749261,0,0,0,0,0,1,0,0
3577474,7,-2.9131463535847244,0.334622166720541,0,-0.24976884851143516,0.23229230498918113,0,0,0,0,1,0,0,0
676603,2,-2.988637125496692,1.9421215184210663,0,-0.6613160563213002,1.6592117906461434,1,0,0,0,0,0,0,0
6680259,12,-2.9634735348593693,2.131570100126729,0,-0.24976884851143516,1.5925333100079677,0,0,0,1,0,0,0,0
2144149,4,-2.9922319241591664,1.9421215184210663,0,-0.46534119545945973,1.6458760945185085,1,0,0,0,0,0,0,0
5298281,10,-2.934715145559572,2.131570100126729,0,-0.6221210841489321,1.7258902712843196,0,1,0,0,0,0,0,0
2817970,5,-2.895172360272351,0.334622166720541,0,-0.56332862589038,0.25896369724445145,1,0,0,0,0,0,0,0
3653355,7,-2.9311203468970977,2.131570100126729,0,-0.4849386815456438,1.6325403983908733,0,1,0,0,0,0,0,0
1584788,3,-2.895172360272351,1.3700243162405992,0,-0.7984984589245886,1.125783945540737,0,0,0,0,0,0,1,0
71200,1,-2.988637125496692,2.131570100126729,0,-0.5045361676318278,1.7392259674119548,0,0,1,0,0,0,0,0
